Data: 1, Attribute languages, Issue: telepathy 120 ft.
Data: 295, Attribute damage_resistances, Issue: and slashing from nonmagical weapons
Data: 299, Attribute languages, Issue: Aquan
Data: 299, Attribute damage_resistances, Issue: acid; bludgeoning
Data: 299, Attribute damage_resistances, Issue: and slashing from nonmagical weapons
Data: 299, Attribute condition_immunities, Issue: unconscious
Data: 301, Attribute languages, Issue: Common (can't speak in bear form)
Data: 301, Attribute damage_immunities, Issue: and slashing damage from nonmagical weapons that aren't silvered
Data: 302, Attribute languages, Issue: Common (can't speak in boar form)
Data: 302, Attribute damage_immunities, Issue: and slashing damage from nonmagical weapons that aren't silvered
Data: 303, Attribute languages, Issue: Common (can't speak in rat form)
Data: 303, Attribute damage_immunities, Issue: and slashing damage from nonmagical weapons that aren't silvered
Data: 304, Attribute languages, Issue: Common (can't speak in tiger form)
Data: 304, Attribute damage_immunities, Issue: and slashing damage from nonmagical weapons that aren't silvered
Data: 305, Attribute languages, Issue: Common (can't speak in wolf form)
Data: 305, Attribute damage_immunities, Issue: and slashing damage from nonmagical weapons that aren't silvered
Data: 307, Attribute languages, Issue: the languages it knew in life
Data: 307, Attribute damage_immunities, Issue: necrotic; bludgeoning
Data: 307, Attribute damage_immunities, Issue: and slashing from nonmagical weapons that aren't silvered
Data: 308, Attribute languages, Issue: the languages it knew in life
Data: 308, Attribute damage_resistances, Issue: thunder; bludgeoning
Data: 308, Attribute damage_resistances, Issue: and slashing from nonmagical weapons
Data: 308, Attribute condition_immunities, Issue: unconscious
Data: 309, Attribute languages, Issue: Winter Wolf
Data: 311, Attribute languages, Issue: Worg
Data: 312, Attribute languages, Issue: the languages it knew in life
Data: 312, Attribute damage_resistances, Issue: thunder; bludgeoning
Data: 312, Attribute damage_resistances, Issue: and slashing from nonmagical weapons that aren't silvered
Data: 314, Attribute languages, Issue: Terran
Data: 314, Attribute damage_resistances, Issue: piercing and slashing from nonmagical weapons that aren't adamantine
